people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
BradWalker,8,0.75,0.375,12104.304166666667,17800.32619047619,0.25
Chris2011,1,1.0,1.0,32912.71666666667,0.0,1.0
JaroslavTulach,21,0.9523809523809523,1.2857142857142858,36603.734920634924,32033.28,0.8571428571428571
KacerCZ,1,1.0,2.0,11111.133333333333,0.0,1.0
MartinBalin,3,1.0,1.6666666666666667,13353.488888888889,47409.9,1.0
asfgit,1,1.0,1.0,436251.15,0.0,1.0
dbalek,16,1.0,1.4375,6946.253125,8076.102222222223,1.0
ebarboni,32,0.9375,0.84375,9980.646354166667,4593.938709677418,0.71875
ehsavoie,1,1.0,1.0,1398.3,0.0,1.0
eirikbakke,7,0.8571428571428571,1.1428571428571428,151954.84285714285,98400.3861111111,0.8571428571428571
entlicher,9,1.0,0.8888888888888888,2600.2814814814815,15037.645833333332,0.8888888888888888
geertjanw,49,0.9795918367346939,1.0816326530612246,13042.931972789114,2841.904166666666,0.6326530612244898
jGauravGupta,6,0.6666666666666666,1.0,79966.825,54132.35666666667,1.0
jhorvath,8,1.0,1.375,2067.9166666666665,10713.36904761905,1.0
jlahoda,3,0.6666666666666666,1.3333333333333333,32886.438888888886,58981.7,1.0
jtulach,6,1.0,1.5,34077.927777777775,39071.149999999994,0.8333333333333334
junichi11,6,1.0,2.0,6617.3694444444445,18523.739999999998,1.0
lkishalmi,29,0.9655172413793104,0.7241379310344828,25136.06091954023,18021.12619047619,0.5517241379310345
matthiasblaesing,23,0.8695652173913043,0.6086956521739131,30186.086956521733,22850.3303030303,0.43478260869565216
mbien,28,0.9642857142857143,1.6428571428571428,23242.588095238094,10415.070987654319,0.9642857142857143
mcdonnell-john,1,1.0,0.0,25768.783333333333,0.0,0.0
mklaehn,4,0.75,0.5,766.8208333333333,4119.705555555555,0.5
neilcsmith-net,21,0.8571428571428571,0.8571428571428571,23963.451587301588,25846.658333333333,0.5714285714285714
oyarzun,3,1.0,1.6666666666666667,15354.87777777778,18111.283333333333,1.0
pepness,2,1.0,1.0,16413.558333333334,90171.25,1.0
ppisl,11,1.0,1.3636363636363635,20623.610606060607,18273.40666666667,0.9090909090909091
sdedic,28,0.9285714285714286,1.4642857142857142,16612.133928571428,10721.704938271605,0.9642857142857143
singh-akhilesh,4,1.0,2.0,42285.95833333333,81049.75555555556,1.0
tmysik,6,1.0,2.0,11687.5,25585.02,1.0
vieiro,10,0.8,0.7,3531.7083333333335,4890.074074074075,0.7
